E_eV,Dit_cm2eV
-1.1059999999999999,189.77687114027324
-1.105,203.57882259604358
-1.1039999999999999,218.35424147889785
-1.103,234.16952966533785
-1.1019999999999999,251.0954546763221
-1.101,269.2074251594745
-1.0999999999999999,288.5857829658361
-1.099,309.3161127684646
-1.0979999999999999,331.4895702210819
-1.097,355.20322970809
-1.0959999999999999,380.56045279328436
-1.095,407.6712785330841
-1.0939999999999999,436.65283688173156
-1.093,467.62978648019964
-1.0919999999999999,500.73477818834596
-1.091,536.1089457904162
-1.0899999999999999,573.9024253786168
-1.089,614.27490499667
-1.0879999999999999,657.3962062074485
-1.087,703.4468993332507
-1.0859999999999999,752.618954207409
-1.085,805.1164283685313
-1.0839999999999999,861.1561947273652
-1.083,920.9687108376462
-1.0819999999999999,984.7988320102899
-1.081,1052.9066706211772
-1.08,1125.568504080845
-1.079,1203.077734055634
-1.0779999999999998,1285.745899658452
-1.077,1373.9037474604004
-1.076,1467.902361314071
-1.075,1568.1143551247837
-1.0739999999999998,1674.9351318582067
-1.073,1788.7842122314698
-1.072,1910.106636700356
-1.071,2039.3744445276247
-1.0699999999999998,2177.0882338979995
-1.069,2323.778807233134
-1.068,2480.0089060554064
-1.067,2646.3750399533774
-1.0659999999999998,2823.5094144146133
-1.065,3012.081962512974
-1.064,3212.802485667862
-1.063,3426.4229089328664
-1.0619999999999998,3653.739656521508
-1.061,3895.5961535376687
-1.06,4152.885460148819
-1.059,4426.553044720881
-1.0579999999999998,4717.599702726899
-1.057,5027.084628545499
-1.056,5356.128647580906
-1.055,5705.917616464198
-1.054,6077.705999437004
-1.053,6472.820629373402
-1.052,6892.6646622608105
-1.051,7338.721734345929
-1.05,7812.560331542685
-1.049,8315.838381114938
-1.048,8850.308076065929
-1.047,9417.820943114753
-1.046,10020.33316558925
-1.045,10659.911173046436
-1.044,11338.737509913988
-1.043,12059.116995962026
-1.042,12823.483191931799
-1.041,13634.40518420056
-1.04,14494.594702915047
-1.039,15406.913588617797
-1.038,16374.381622981313
-1.037,17400.18473989822
-1.036,18487.68363380509
-1.035,19640.422782794998
-1.034,20862.139904743068
-1.033,22156.775865392636
-1.032,23528.48505806239
-1.031,24981.646275403626
-1.03,26520.874094395356
-1.029,28151.030796582905
-1.028,29877.238846369804
-1.027,31704.8939510419
-1.026,33639.67872705531
-1.025,35687.576998041506
-1.024,37854.88875088355
-1.023,40148.24577719778
-1.022,42574.628028501735
