E_eV,Dit_cm2eV
-0.9039999999999999,16323599.109973386
-0.903,17026394.97964948
-0.9019999999999999,17756982.67431294
-0.901,18516347.444223687
-0.8999999999999999,19305504.49911024
-0.899,20125499.713415988
-0.8979999999999999,20977410.3399131
-0.897,21862345.7314278
-0.8959999999999999,22781448.07041354
-0.895,23735893.106077384
-0.8939999999999999,24726890.89875789
-0.893,25755686.571219344
-0.8919999999999999,26823561.06652049
-0.891,27931831.912080135
-0.8899999999999999,29081853.98955561
-0.889,30275020.310112674
-0.8879999999999999,31512762.79465842
-0.887,32796553.058570124
-0.8859999999999999,34127903.20044606
-0.885,35508366.5943633
-0.8839999999999999,36939538.68512109
-0.883,38423057.7859064
-0.8819999999999999,39960605.877810605
-0.881,41553909.410582975
-0.8799999999999999,43204740.104001366
-0.879,44914915.74919204
-0.8779999999999999,46686301.00922767
-0.877,48520808.21828372
-0.8759999999999999,50420398.17862832
-0.875,52387080.954672165
-0.8739999999999999,54422916.66330026
-0.873,56530016.25965686
-0.8719999999999999,58710542.31755156
-0.871,60966709.80360191
-0.8699999999999999,63300786.84422717
-0.869,65715095.48455065
-0.8679999999999999,68212012.43827263
-0.867,70793969.82751477
-0.8659999999999999,73463455.91164224
-0.865,76223015.80400975
-0.8639999999999999,79075252.17558421
-0.863,82022825.94433358
-0.8619999999999999,85068456.94928104
-0.861,88214924.60806118
-0.8599999999999999,91465068.55682364
-0.859,94821789.27126749
-0.8579999999999999,98288048.66760153
-0.857,101866870.68216087
-0.8559999999999999,105561341.82842788
-0.855,109374611.73013534
-0.8539999999999999,113309893.62915379
-0.853,117370464.86679378
-0.8519999999999999,121559667.33718142
-0.851,125880907.91128962
-0.8499999999999999,130337658.83024506
-0.849,134933458.06645152
-0.848,139671909.65110826
-0.847,144556683.96663177
-0.846,149591518.00251526
-0.845,154780215.5731157
-0.844,160126647.49585435
-0.843,165634751.7283077
-0.842,171308533.4626392
-0.841,177152065.17582542
-0.84,183169486.63411254
-0.839,189365004.8501324
-0.838,195742893.99110082
-0.837,202307495.23651698
-0.836,209063216.5837741
-0.835,216014532.6000982
-0.834,223165984.1192214
-0.833,230522177.88120514
