# Ef_eV: 0.0
# A_cell_A2: 100.0
E_eV,T_total
-0.33875,7.152109223082213e-08
-0.3375,7.37623204128999e-08
-0.33625,7.607429838408917e-08
-0.33499999999999996,7.845927747841306e-08
-0.33375,8.091958129932367e-08
-0.3325,8.345760806194733e-08
-0.33125,8.607583301204397e-08
-0.32999999999999996,8.877681092422452e-08
-0.32875,9.156317868205039e-08
-0.3275,9.44376579427331e-08
-0.32625,9.740305788923759e-08
-0.32499999999999996,1.0046227807269221e-07
-0.32375,1.0361831134810332e-07
-0.3225,1.0687424690647262e-07
-0.32125000000000004,1.1023327340652177e-07
-0.32,1.1369868220933387e-07
-0.31875,1.1727387071933764e-07
-0.3175,1.2096234583516737e-07
-0.31625000000000003,1.2476772751406296e-07
-0.315,1.2869375245358252e-07
-0.31375,1.3274427789454275e-07
-0.3125,1.3692328554922407e-07
-0.31125,1.4123488565901722e-07
-0.31,1.4568332118583045e-07
-0.30874999999999997,1.5027297214171718e-07
-0.3075,1.550083600613468e-07
-0.30625,1.5989415262207887e-07
-0.305,1.6493516841658395e-07
-0.30374999999999996,1.701363818831004e-07
-0.3025,1.7550292839860744e-07
-0.30125,1.810401095403634e-07
-0.3,1.867533985214391e-07
-0.29874999999999996,1.9264844580608483e-07
-0.2975,1.98731084910944e-07
-0.29625,2.050073383983525e-07
-0.295,2.1148342406816314e-07
-0.29374999999999996,2.1816576135474706e-07
-0.2925,2.2506097793607636e-07
-0.29125,2.3217591656199322e-07
-0.29000000000000004,2.3951764210903753e-07
-0.28875,2.470934488694486e-07
-0.2875,2.549108680822118e-07
-0.28625,2.62977675714298e-07
-0.28500000000000003,2.713019005005109e-07
-0.28375,2.798918322506619e-07
-0.2825,2.887560304330612e-07
-0.28125,2.979033330436606e-07
-0.28,3.0734286577046335e-07
-0.27875,3.170840514631719e-07
-0.27749999999999997,3.271366199183748e-07
-0.27625,3.375106179909272e-07
-0.275,3.4821642004255564e-07
-0.27375,3.5926473873906604e-07
-0.27249999999999996,3.7066663620797295e-07
-0.27125,3.8243353556871717e-07
-0.27,3.9457723284811e-07
-0.26875,4.0710990929403816e-07
-0.26749999999999996,4.2004414410092016e-07
-0.26625,4.3339292756089264e-07
-0.265,4.4716967465514937e-07
-0.26375,4.613882391003866e-07
-0.26249999999999996,4.760629278657858e-07
-0.26125,4.91208516176549e-07
-0.26,5.068402630204963e-07
-0.25875000000000004,5.229739271748452e-07
-0.2575,5.396257837708756e-07
-0.25625,5.568126414147736e-07
-0.255,5.745518598836168e-07
-0.25375000000000003,5.928613684160808e-07
-0.2525,6.117596846181634e-07
-0.25125,6.312659340048713e-07
-0.25,6.513998701996244e-07
-0.24874999999999997,6.721818958137882e-07
-0.2475,6.936330840295949e-07
-0.24624999999999997,7.157752009104877e-07
-0.245,7.386307284637839e-07
-0.24375000000000002,7.622228884813731e-07
-0.2425,7.865756671851e-07
-0.24125000000000002,8.117138407044104e-07
-0.24,8.376630014147536e-07
-0.23875000000000002,8.644495851662833e-07
-0.2375,8.921008994334069e-07
-0.23625000000000002,9.206451524167494e-07
-0.235,9.501114831303078e-07
-0.23375,9.805299925076064e-07
-0.23249999999999998,1.011931775561916e-06
-0.23125,1.0443489546367564e-06
-0.22999999999999998,1.0778147137843061e-06
-0.22875,1.1123633343104339e-06
